name,kcal,carbs,carbs_sugar_part,protein,fat,fat_saturated,fiber
Cashewkerne,589,31,3,21,42,9,3
Cashewkerne (geröstet und gesalzen),587,26,6,18,45,8,3
Haselnüsse (gemahlen),657,7,4.5,15,61,4.5,10
Tahini,686,12,0,25.5,60,10,0
Peanut Butter (meridian),596,11.6,5.9,29.6,46,8.2,8.5
Pouletbrust,114,0,0,21.2,2.6,0.6,0
Pouletflügel,175,1,1,19,11,3.5,0.5
Rohschinken,243,0,0,27,15,5.3,0
Salami,384,0,0,25,32,0,0
Speck,267.5,1,1,17,8,8,0.5
Rindfleisch Bio,187,0,0,19,12,4.5,0
Rindfleisch Legère,131,0,0,21,5,2,0
Rindfleisch (Angus Lean),170,0,0,19.7,10,0,0
Beef Escalopes,178,0.4,0,36.4,3.6,1.5,0.4
Entenbrust (ohne Haut),123,0,0,19.9,4.3,0,0
Pulled pork (Bell),177,1,0.5,23,9,3.5,0
Lammnierstück,116,1,1,21,3.5,1.5,0.5
Chorizo Ring,481,0.9,0,22,43,,
St. Galler Stumpen,242,1,0.5,13,21,8,0
St. Galler Olma Bratwurst,246,1.6,0.5,13,21,8,0.5
Salami Milano,86,0,0,0,0,0,0
Entenbrust (mit Haut),337,0,0,19,28,10,0
Olivenöl,819,0,0,0,91,13,0
Kokosöl,812.9,0,0,0,92,87,0
Rapsöl,828,0,0,0,72,7,0
Sesamöl,819,0,0,0,91,0,0
Ei,143,0.7,0.7,12.6,9.5,3.13,0
Austernsauce,141,31,25,3.5,0,0,0
Fischsauce,79,5.8,0,13.9,0,0,0
Currypaste (rot),118,17.5,0,7.8,1.8,0,9.5
Currypaste (grün),95,16,0,4.5,1.4,0,8.6
Currypaste (sauer),107,17.3,0,6,1.5,0,6.4
Currypaste (Panang),138,22.2,0,7,2.3,0,11.3
Currypaste (gelb),129,22.7,5.6,5.3,1.9,0.3,11
Sojasauce,84,6.6,1.3,9,0,0,0
Tamarisauce,57,2,0,10,0,0,0
Senf,108,6,3,6,6,0,3
Senf scharf,150,3.9,0,8,9.9,0,0
Ketchup,102,23.2,22.8,1.2,0.1,0,0
Gemüse-Bouillon,4,0.8,0,0.5,,0,0
Essig (Balsamico),96,19,19,0.2,0,0,0
Essig,25,0,0,0,0,0,0
Fischfond,93,21,10,2.5,0,0,0
Ingwer-Knoblauch Paste,104,16,0,3.2,3,0,0
Ingwer,80,15.8,15.6,1.8,0.8,0.2,2
Mayonnaise,740,0.3,0,0.9,82,82,0
Basilikum,22,2.65,0,3.15,0.64,0,1.6
Weizen Pita,257,52,2.2,7.8,1.1,0.3,3.7
Whole wheat Tortilla,286,47,3,8.5,6,2.5,6
Garlic Bread,334,46.9,3.7,9,11.9,5.3,8
Frischback Pagnolbrot,230,44,4,8,8,1.5,0
Naturaplan Bio Nussbrötli Coop,268,40,4,10,6,1,0
Burger Bun,310,51,7,9,7,0.8,3.5
Rotwein,85,0,0,0,0,0,0
Weisswein,60,0,0,0,0,0,0
Whisky,250,0.1,0,0,0,0,0
Grappa,221,0,0,0,0,0,0
Schokoladenpulver,447,66,56,6,16,10,8
Rohzucker,396,99,99,0,0,0,0
Puderzucker,400,100,100,0,0,0,0
Konfitüre Himbeer - Maracuja,214,52,49,0.6,0,0,2
Proteinpulver,367,3.5,3.5,77,5,3.3,0
Ahornsirup,356,89,77,0,0,0,0
St. Galler Ruchbrot,249,45,3,10,1.5,0.5,5
Gomfi,214,52,49,0.6,0,0,2
Agavendicksaft,300,75,75,0,0,0,0
Vollkorn Petit Beurre,432,60,17,9,16,7,6
Erdbeer-Rhabarber Gomfi,201,48,48,1,0,0,2
Magnum Double Raspberry,326,35,28,2.9,19,14,0
Magnum Double Coconut,328,32,30,3.8,20,14,0
Magnum Classic,302,29,27,3.6,19,14,0
Weihnachgsschöggeli,555,51,49,8,35,20,0
Victoria Sponge Cake,450,52.4,,6.4,26.3,,
Yo Frozen Yoghurt Chocolate,153,23,20,8,3,2,1
Bee pollen,267,35,29,0.8,7,0,5
Lachs Sandwich (Costa),212,25.5,1.5,12.9,6.1,4.4,0
Veggie Patty,381,,8,,10.7,3,0
